NAME                                   READY   STATUS    RESTARTS      AGE   IP            NODE                         NOMINATED NODE   READINESS GATES
qos-best-effort                        1/1     Running   0             46s   10.244.0.5    ai-infra-lab-control-plane   <none>           <none>
qos-burstable                          1/1     Running   0             46s   10.244.0.6    ai-infra-lab-control-plane   <none>           <none>
qos-guaranteed                         1/1     Running   0             46s   10.244.0.7    ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-29jzn   0/1     Evicted   0             23s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-4grb6   0/1     Evicted   0             24s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-4k8g2   0/1     Evicted   0             28s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-5687r   0/1     Evicted   0             25s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-5ldp4   0/1     Evicted   0             22s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-5r7kt   0/1     Evicted   0             28s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-68drp   0/1     Evicted   0             22s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-6dlqc   0/1     Evicted   0             25s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-6vn4m   1/1     Running   0             45s   10.244.0.12   ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-77jhl   0/1     Evicted   0             25s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-7q7qw   0/1     Evicted   0             24s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-7wq7m   0/1     Evicted   0             24s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-85nrf   0/1     Evicted   0             24s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-88g46   0/1     Evicted   0             27s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-8m526   0/1     Evicted   0             28s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-9lkgx   0/1     Evicted   0             23s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-bpr8n   0/1     Error     0             45s   10.244.0.10   ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-crgbl   0/1     Evicted   0             28s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-cshpx   0/1     Evicted   0             27s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-cw77n   0/1     Evicted   0             22s   <none>        ai-infra-lab-control-plane   <none>           <none>
