LAST SEEN   TYPE      REASON                         OBJECT                                     MESSAGE
3m52s       Normal    Scheduled                      pod/model-server-56595589db-mnl96          Successfully assigned default/model-server-56595589db-mnl96 to ai-infra-lab-control-plane
3m52s       Normal    SuccessfulCreate               replicaset/model-server-56595589db         Created pod: model-server-56595589db-mnl96
3m52s       Normal    ScalingReplicaSet              deployment/model-server                    Scaled up replica set model-server-56595589db from 0 to 1
3m52s       Normal    Created                        pod/model-server-56595589db-mnl96          Created container: model-server
3m52s       Normal    Pulled                         pod/model-server-56595589db-mnl96          Container image "fastapi-model-server:0.1.1" already present on machine
3m51s       Normal    Started                        pod/model-server-56595589db-mnl96          Started container model-server
3m40s       Normal    SuccessfulCreate               replicaset/model-server-56595589db         Created pod: model-server-56595589db-cvdhm
3m40s       Normal    ScalingReplicaSet              deployment/model-server                    Scaled up replica set model-server-56595589db from 1 to 2
3m40s       Normal    ScalingReplicaSet              deployment/model-server                    Scaled down replica set model-server-ccd5f56fc from 2 to 1
3m40s       Normal    Scheduled                      pod/model-server-56595589db-cvdhm          Successfully assigned default/model-server-56595589db-cvdhm to ai-infra-lab-control-plane
3m40s       Normal    Killing                        pod/model-server-ccd5f56fc-vg6k9           Stopping container model-server
3m40s       Normal    SuccessfulDelete               replicaset/model-server-ccd5f56fc          Deleted pod: model-server-ccd5f56fc-vg6k9
3m39s       Normal    Pulled                         pod/model-server-56595589db-cvdhm          Container image "fastapi-model-server:0.1.1" already present on machine
3m39s       Normal    Started                        pod/model-server-56595589db-cvdhm          Started container model-server
3m39s       Normal    Created                        pod/model-server-56595589db-cvdhm          Created container: model-server
3m28s       Normal    SuccessfulDelete               replicaset/model-server-ccd5f56fc          Deleted pod: model-server-ccd5f56fc-hd62c
3m28s       Normal    Killing                        pod/model-server-ccd5f56fc-hd62c           Stopping container model-server
3m28s       Normal    ScalingReplicaSet              deployment/model-server                    Scaled down replica set model-server-ccd5f56fc from 1 to 0
3m24s       Warning   FailedGetResourceMetric        horizontalpodautoscaler/model-server-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
3m24s       Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/model-server-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
3m17s       Normal    Pulled                         pod/model-server-loadgen-wg5gb             Container image "curlimages/curl:8.12.1" already present on machine
3m17s       Normal    Started                        pod/model-server-loadgen-wrgfn             Started container loadgen
3m17s       Normal    SuccessfulCreate               job/model-server-loadgen                   Created pod: model-server-loadgen-dms7x
3m17s       Normal    SuccessfulCreate               job/model-server-loadgen                   Created pod: model-server-loadgen-rjj78
3m17s       Normal    SuccessfulCreate               job/model-server-loadgen                   Created pod: model-server-loadgen-9z55q
3m17s       Normal    SuccessfulCreate               job/model-server-loadgen                   Created pod: model-server-loadgen-wg5gb
3m17s       Normal    SuccessfulCreate               job/model-server-loadgen                   Created pod: model-server-loadgen-2566n
